id,symbol,company_name,security_type,event_start_date,event_end_date,peak_date,price_start,price_peak,price_end_3d,return_1d_pct,return_3d_pct,return_peak_pct,label_a,label_b,day_after_continuation,volume_event_day,volume_avg_20d_pre,volume_ratio,shares_outstanding,float_shares,market_cap_pre,short_interest_shares,short_pct_float,days_to_cover,sector,industry,exchange,ipo_date,days_since_ipo,catalyst_summary,news_count_event_day,options_available,iv_pre_event,call_oi_pre,put_oi_pre,taxonomy_bucket,taxonomy_confidence,taxonomy_notes,data_source,created_at
75,OCGN,"Ocugen, Inc.",common,2021-02-03T00:00:00,2021-02-08T00:00:00,2021-02-08T00:00:00,2.81,18.77,15.81,201.14,462.63,567.97,1,1,0.0,719521500.0,47402570.0,15.18,327897296.0,322887025.0,921391401.76,52358943.0,0.162,5.78,Healthcare,Biotechnology,NCM,,,Covaxin partnership with Bharat Biotech,,1,,,,biotech_catalyst,0.9,Seed list: Covaxin partnership with Bharat Biotech,yfinance,2026-03-26T20:29:17.018729
56,GME,GameStop Corp.,common,2021-01-22T00:00:00,2021-01-27T00:00:00,2021-01-27T00:00:00,16.2525,95.0,86.8775,134.84,434.55,484.53,1,0,0.0,373586800.0,119785180.0,3.12,448009480.0,408196259.0,7281274073.700001,64227044.0,0.157,12.79,Consumer Cyclical,Specialty Retail,NYQ,,,"WSB-driven short squeeze, 140%+ SI, Melvin Capital",,1,,,,short_squeeze,0.9,"Seed list: WSB-driven short squeeze, 140%+ SI, Melvin Capital",yfinance,2026-03-26T20:29:16.365155
43,BBIG,"Vinco Ventures, Inc.",common,2025-05-22T00:00:00,2025-05-28T00:00:00,2025-05-28T00:00:00,0.0001,0.0005,0.0005,400.0,400.0,400.0,1,0,0.0,460.0,2461.75,0.19,13000000.0,11665321.0,1300.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967227
44,BBIG,"Vinco Ventures, Inc.",common,2025-07-02T00:00:00,2025-07-08T00:00:00,2025-07-08T00:00:00,0.0002,0.001,0.001,400.0,400.0,400.0,1,0,0.0,1012.0,2846.65,0.36,13000000.0,11665321.0,2600.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967227
81,PRST,Presto Automation Inc.,common,2025-02-03T00:00:00,2025-02-06T00:00:00,2025-02-06T00:00:00,0.0001,0.0005,0.0005,400.0,400.0,400.0,1,0,0.0,612300.0,810249.85,0.76,418519281.0,105706246.0,41851.928100000005,1820791.0,0.0138,0.08,Technology,Software - Application,PNK,,,"AI restaurant tech, low float squeeze",,0,,,,penny_stock_pump,0.9,"Seed list: AI restaurant tech, low float squeeze",yfinance,2026-03-26T20:29:17.173191
20,AMTD,AMTD IDEA Group,adr,2022-07-28T00:00:00,2022-08-02T00:00:00,2022-08-02T00:00:00,8.64,77.4,42.0,236.54,386.11,795.83,1,1,0.0,38401550.0,271414.1,141.49,42487253.0,208541538.0,367089865.92,36873.0,0.00090000004,1.28,Financial Services,Asset Management,NYQ,,,"HKD parent, mysterious 32000% rally post-IPO",,0,,,,penny_stock_pump,0.9,"Seed list: HKD parent, mysterious 32000% rally post-IPO",yfinance,2026-03-26T20:29:15.771070
91,SAVA,Cassava Sciences Inc,common,2021-01-29T00:00:00,2021-02-03T00:00:00,2021-02-03T00:00:00,19.82,90.0,87.95,58.64,343.74,354.09,1,0,0.0,54517332.0,3967892.35,13.74,48307896.0,42984366.0,957462498.72,7120771.0,0.1489,9.4,Healthcare,Biotechnology,NCM,2000-07-14T13:30:00,7503.0,"Alzheimer's drug data, simufilam",,0,,,,biotech_catalyst,0.9,"Seed list: Alzheimer's drug data, simufilam",yfinance,2026-03-26T20:29:17.326948
63,LUNR,"Intuitive Machines, Inc.",common,2023-02-13T00:00:00,2023-02-16T00:00:00,2023-02-16T00:00:00,10.42,51.0,44.77,251.41,329.65,389.44,1,0,0.0,3590800.0,381365.0,9.42,159372567.0,129259120.0,1660662148.14,31107399.0,0.2027,3.15,Industrials,Aerospace & Defense,NGM,,,"Moon landing mission, space sector momentum",,1,,,,sector_momentum,0.9,"Seed list: Moon landing mission, space sector momentum",yfinance,2026-03-26T20:29:16.604851
47,BBIG,"Vinco Ventures, Inc.",common,2025-12-05T00:00:00,2025-12-10T00:00:00,2025-12-10T00:00:00,0.0007,0.003,0.003,400.0,328.57,328.57,1,0,0.0,2026.0,4704.5,0.43,13000000.0,11665321.0,9100.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967229
49,BBIG,"Vinco Ventures, Inc.",common,2026-03-03T00:00:00,2026-03-06T00:00:00,2026-03-04T00:00:00,0.0008,0.0034,0.0034,0.0,325.0,325.0,1,0,0.0,2325.0,2679.8,0.87,13000000.0,11665321.0,10400.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967230
